order_number,barcode,quantity,description,sku,location
WO-20023,012493683424,2,Cable ties 8in (100),SKU-1005,E-05-05
WO-20023,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20023,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20023,012752691337,3,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20023,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20023,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20023,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20024,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20024,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20024,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20024,013381710543,3,Desiccant pack (50),SKU-1029,E-02-05
WO-20025,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20025,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20025,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20025,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20025,013418711673,6,Fragile tape 2in,SKU-1030,F-03-12
WO-20025,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20025,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20026,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20026,012678689074,4,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20026,013307708289,3,Edge protector 2in,SKU-1027,C-09-03
WO-20026,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20026,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20026,013344709416,2,Strapping buckle (1000),SKU-1028,D-01-10
WO-20026,012345678905,3,Blue widget 12-pack,SKU-1001,A-01-01
WO-20026,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20027,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20027,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20027,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20027,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20027,012345678905,4,Blue widget 12-pack,SKU-1001,A-01-01
WO-20027,012456682297,3,Stretch wrap 18in,SKU-1004,D-04-10
WO-20027,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20028,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20028,012937696980,4,Void fill paper roll,SKU-1017,E-08-05
WO-20028,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20028,012789692468,12,Safety glasses clear,SKU-1013,A-04-01
WO-20028,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20028,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20028,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20029,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20029,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20029,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20029,013048700375,4,Hand truck wheel,SKU-1020,B-02-02
WO-20029,013344709416,3,Strapping buckle (1000),SKU-1028,D-01-10
WO-20029,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20029,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20030,012567685682,4,Bubble mailer #2,SKU-1007,A-07-07
WO-20030,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20030,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20031,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20031,013307708289,6,Edge protector 2in,SKU-1027,C-09-03
WO-20031,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20031,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20031,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20031,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20031,012826693595,6,Box cutter,SKU-1014,B-05-08
WO-20032,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20032,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
WO-20032,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20033,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20033,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20033,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20033,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20034,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20034,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20034,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20034,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20035,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20035,012789692468,4,Safety glasses clear,SKU-1013,A-04-01
WO-20035,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20035,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20035,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20035,013159703760,6,Marker black (12),SKU-1023,E-05-11
WO-20035,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20036,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20036,013344709416,6,Strapping buckle (1000),SKU-1028,D-01-10
WO-20036,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20036,012863694722,12,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20037,013233706021,4,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20037,013381710543,12,Desiccant pack (50),SKU-1029,E-02-05
WO-20037,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20037,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20037,013196704898,6,Clipboard letter,SKU-1024,F-06-06
WO-20037,012937696980,6,Void fill paper roll,SKU-1017,E-08-05
WO-20038,013233706021,12,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20038,012604686818,6,Bubble mailer #5,SKU-1008,B-08-02
WO-20038,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20038,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20038,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20039,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20039,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20040,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20040,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20040,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20040,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20040,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20040,013270707159,4,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20041,012715690209,4,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20041,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20041,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20041,012826693595,6,Box cutter,SKU-1014,B-05-08
WO-20041,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20041,012567685682,3,Bubble mailer #2,SKU-1007,A-07-07
WO-20041,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20042,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20042,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20042,013307708289,6,Edge protector 2in,SKU-1027,C-09-03
WO-20042,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20042,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20042,013196704898,4,Clipboard letter,SKU-1024,F-06-06
WO-20042,013233706021,6,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20043,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
WO-20044,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20044,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20044,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20044,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20044,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20044,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20044,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20045,012382680039,3,Red widget 12-pack,SKU-1002,B-02-08
WO-20045,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20045,012789692468,6,Safety glasses clear,SKU-1013,A-04-01
WO-20046,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20046,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20046,012789692468,6,Safety glasses clear,SKU-1013,A-04-01
WO-20046,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20046,013381710543,12,Desiccant pack (50),SKU-1029,E-02-05
WO-20046,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20047,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20047,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20047,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20047,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20047,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20047,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20048,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20048,013122702639,6,Barcode scanner holster,SKU-1022,D-04-04
WO-20048,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20049,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20049,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20049,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20049,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20049,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20049,012456682297,4,Stretch wrap 18in,SKU-1004,D-04-10
WO-20050,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20050,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20050,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20050,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
WO-20050,013418711673,3,Fragile tape 2in,SKU-1030,F-03-12
WO-20050,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20050,012604686818,4,Bubble mailer #5,SKU-1008,B-08-02
WO-20051,012419681169,6,Packing tape 48mm,SKU-1003,C-03-03
WO-20051,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20051,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20051,012715690209,3,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20051,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20051,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20052,012530684551,6,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20052,013196704898,6,Clipboard letter,SKU-1024,F-06-06
WO-20052,012937696980,4,Void fill paper roll,SKU-1017,E-08-05
WO-20052,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20052,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20052,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20052,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20053,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20053,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20053,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20053,013233706021,6,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20053,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20054,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20054,012567685682,3,Bubble mailer #2,SKU-1007,A-07-07
WO-20054,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20055,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20055,012345678905,4,Blue widget 12-pack,SKU-1001,A-01-01
WO-20055,012937696980,6,Void fill paper roll,SKU-1017,E-08-05
WO-20055,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20055,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20056,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20056,013159703760,4,Marker black (12),SKU-1023,E-05-11
WO-20056,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20056,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20056,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20056,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20056,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20056,012678689074,12,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20057,012826693595,6,Box cutter,SKU-1014,B-05-08
WO-20057,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20057,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20057,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20057,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20057,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20058,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20058,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20058,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20058,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20059,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20059,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
WO-20059,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20059,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20059,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20060,012530684551,2,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20060,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20060,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20060,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20060,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20060,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20061,012456682297,3,Stretch wrap 18in,SKU-1004,D-04-10
WO-20061,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20061,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20061,013011699248,2,Dunnage air pillows,SKU-1019,A-01-07
WO-20061,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20061,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20061,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20061,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20062,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20062,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
WO-20062,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20062,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20062,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20062,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20062,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20062,013381710543,12,Desiccant pack (50),SKU-1029,E-02-05
WO-20063,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20063,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20063,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20063,013011699248,2,Dunnage air pillows,SKU-1019,A-01-07
WO-20063,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20063,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20063,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20064,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20064,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20064,012419681169,6,Packing tape 48mm,SKU-1003,C-03-03
WO-20064,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20065,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20066,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20066,013344709416,2,Strapping buckle (1000),SKU-1028,D-01-10
WO-20066,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20066,012419681169,4,Packing tape 48mm,SKU-1003,C-03-03
WO-20066,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20067,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20067,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20067,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20067,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20068,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20068,013196704898,6,Clipboard letter,SKU-1024,F-06-06
WO-20068,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20068,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20068,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20069,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20069,012937696980,4,Void fill paper roll,SKU-1017,E-08-05
WO-20069,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20069,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20069,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20069,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20069,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20070,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20071,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20072,012937696980,6,Void fill paper roll,SKU-1017,E-08-05
WO-20072,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20072,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20072,012641687946,3,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20072,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20072,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20072,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20072,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20073,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20073,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20073,013159703760,4,Marker black (12),SKU-1023,E-05-11
WO-20074,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20075,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20075,012715690209,12,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20075,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20075,013233706021,4,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20075,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20075,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20076,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20076,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20076,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20076,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20076,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20076,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20077,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20077,013159703760,2,Marker black (12),SKU-1023,E-05-11
